sample_key,title,year,publisher_organization,institution_type_v1,corpus_tier_v1,CTRY,country_page_actual,issuer_country_method,issuer_country_confidence,attribution,is_multi_country,issuer_country_count,manual_review_required,policycommons_url,attribution_method_version
20.500.12592/08f6cm,Soil Moisture Retrieval from C-Band SAR Data Enhanced by L-Band Soil Roughness Integration,2023,"Institut national de recherche pour l’agriculture, l’alimentation et l’environnement",Public research institution,primary_public_research_candidate,FRA,France,publisher_identity_plus_policy_commons_page,high,1,False,1,False,https://policycommons.net/artifacts/7926285/integration-of-l-band-derived-soil-roughness-into-a-bare-soil-moisture-retrieval-approach-from-c-band-sar-data/,1.0
20.500.12592/1500fnv,357. Can an Industrial Giant Become a Tech Darling?,2018,Freakonomics,Private corporation/platform,auxiliary_private,USA,United States of America,publisher_identity_plus_policy_commons_page,medium,1,False,1,False,https://policycommons.net/artifacts/33423461/357/,1.0
20.500.12592/16dpcwp,Findings of the Third Shared Task on Multimodal Machine Translation,2018,Association for Computational Linguistics,Professional association/nonprofit,auxiliary_non_government,USA,United States of America,publisher_identity_plus_policy_commons_page,medium,1,False,1,False,https://policycommons.net/artifacts/32311229/findings-of-the-third-shared-task-on-multimodal-machine-translation/,1.0
20.500.12592/178lyfj,Blue Skies Ahead: Sustainable Innovation Powered by the SESAR Joint Undertaking,2024,Community Research and Development Information Service,European Union institution,supranational_separate,XEU,Belgium,verified_non_country_actor,high,1,False,0,False,https://policycommons.net/artifacts/30934076/blue-skies-ahead/,1.0
20.500.12592/18jkp1h,Efficient Technical Term Translation: A Knowledge Distillation Approach,2024,Association for Computational Linguistics,Professional association/nonprofit,auxiliary_non_government,USA,United States of America,publisher_identity_plus_policy_commons_page,medium,1,False,1,False,https://policycommons.net/artifacts/46098297/efficient-technical-term-translation/,1.0
20.500.12592/1dzhtvp,A Go/No-Go Decision-Making Model Based on Risk and Multi-Criteria Techniques for Project Selection,2025,IMT Mines Albi-Carmaux,Higher education,auxiliary_non_government,FRA,France,publisher_identity_plus_policy_commons_page,medium,1,False,1,False,https://policycommons.net/artifacts/22456715/a-gono-go-decision-making-model-based-on-risk-and-multi-criteria-techniques-for-project-selection/,1.0
20.500.12592/1g6cr81,"Towards Fast, Accurate and Stable 3D Dense Face Alignment",2020,European Computer Vision Association,Professional association/nonprofit,auxiliary_non_government,CHE,Switzerland,publisher_identity_plus_policy_commons_page,medium,1,False,1,False,https://policycommons.net/artifacts/38239618/towards-fast-accurate-and-stable-3d-dense-face-alignment/,1.0
20.500.12592/1lg2xcc,Reduced-Order Aeroelastic Modeling for Slender Missiles,2017,Chinese Society of Theoretical and Applied Mechanics,Professional association/nonprofit,auxiliary_non_government,CHN,China,publisher_identity_plus_policy_commons_page,medium,1,False,1,False,https://policycommons.net/artifacts/20672108/reduced-order-aeroelastic-modeling-for-slender-missiles/,1.0
20.500.12592/1n8jvkh,Correlation of Soil Erodibility with Satellite Data in Desertification Areas of Senegal,2017,Université de La Réunion,Higher education,auxiliary_non_government,FRA,France,publisher_identity_plus_policy_commons_page,medium,1,False,1,False,https://policycommons.net/artifacts/22659421/correlation-of-soil-erodibility-with-satellite-data-in-desertification-areas-of-senegal/,1.0
20.500.12592/1vywfv9,"A Framework for Interpreting Knowledge, Attitude and Practices in Poisoning Incidents of Household Chemical Products",2021,"Center for Fundamental and Liberal Education, University Malaysia of Terengganu",Higher education,auxiliary_non_government,MYS,Malaysia,publisher_identity_plus_policy_commons_page,medium,1,False,1,False,https://policycommons.net/artifacts/57854888/a-framework-for-interpreting-knowledge-attitude-and-practices-in-poisoning-incidents-of-household-chemical-products/,1.0
20.500.12592/1wgd963,"ISMRM Workshop on Neurofluids: Anatomy, Physiology & Imaging",2022,International Society for Magnetic Resonance in Medicine,Professional association/nonprofit,auxiliary_non_government,USA,United States of America,publisher_identity_plus_policy_commons_page,medium,1,False,1,False,https://policycommons.net/artifacts/51469514/ismrm-workshop-on-neurofluids/,1.0
