rule_id,severity,recommended_action,evidence_requirement,candidate_count
C003_british_columbia_false_uk,critical,correct_to_canada,boundary-aware institution alias,0
C004_nz_productivity_false_australia,critical,correct_to_new_zealand,longest-specific-name alias,0
C005_kosovo_not_xkx,critical,correct_to_kosovo,explicit issuer jurisdiction,0
E001_duplicate_record_id,critical,block_release,record_id must be unique,0
E002_pairing_not_exact,critical,quarantine,normalised coi and URL artefact ID must agree,0
A002_probable_alternative_ai_meaning,high,review_for_non_ai,positive alternative meaning and no independent AI evidence,13
C001_eligible_country_unresolved,high,review_country,retain unresolved rather than invent attribution,367
C002_provider_issuer_country_conflict,high,review_country_conflict,explicit issuer jurisdiction may override publication place,6
C006_public_issuer_library_unresolved,high,review_public_issuer,distinguish issuing public body from passive repository,0
C007_national_commission_unresolved,high,correct_to_canada,official national commission,0
D001_eligible_standalone_meeting_document,high,propose_exclude,meeting trigger without a substantive bundle signal,0
D002_excluded_substantive_meeting_bundle,high,propose_restore,bundle signal overrides logistical meeting exclusion,4
D003_eligible_standalone_recruitment,high,propose_exclude,standalone recruitment material,0
D004_excluded_recruitment_policy_or_analysis,high,propose_restore,"policy, evaluation or labour-market content",0
D005_eligible_archival_finding_aid,high,propose_exclude,"pure catalogue, file list or finding aid",0
E003_missing_stable_identifier,high,review_identity,retain both provider ID and URL,0
E004_missing_title,high,review_metadata,title must be present,0
A003_ambiguous_ai_only,medium,review_ai_context,confirm computational or governance context,545
D006_eligible_academic_or_patent_candidate,medium,review_document_form,exclude only a standalone academic work or patent,0
E005_invalid_year,medium,review_date,"distinguish publication, revision and retrieval date",0
A001_metadata_negative_ai_provenance,review,retain_ai_unless_positive_non_ai_evidence,Policy Commons may have matched document full text,8647
C008_multiple_country_codes,review,verify_each_country,each supported country receives one unit-weight row,0
